"","cpid","Number.of.associated.publications","Number.of.publications.with.activity","%.of.papers.with.activity"
"1","5,5-Diphenylhydantoin",0,NA,NA
"2","5-Fluorouracil",2,1,50
"3","6-Aminonicotinamide",0,NA,NA
"4","Acrylamide",3,2,66.6666666666667
"5","Amphetamine",0,NA,NA
"6","Bisphenol A (BPA)",6,5,83.3333333333333
"7","Bis(tributyltin) oxide",2,2,100
"8","Chlorpyrifos",9,9,100
"9","Cocaine base",0,NA,NA
"10","Diazepam",2,2,100
"11","Dieldrin",2,2,100
"12","Diethylstilbesterol",2,0,0
"13","D-sorbitol",1,1,100
"14","Fluoxetine",3,2,66.6666666666667
"15","Heptachlor",2,2,100
"16","Heptachlor epoxide",0,NA,NA
"17","Loperamide",0,NA,NA
"18","Paraquat",1,1,100
"19","Phenobarbital",2,1,50
"20","Polybrominated diphenyl ether (PBDE)-47",1,1,100
"21","Tebuconazole",4,2,50
"22","Triethyltin",0,NA,NA
