"","name","N"
"1","Fluoxetine",5
"2","Paraquat",5
"3","6-Aminonicotinamide",4
"4","Chlorpyrifos",4
"5","Loperamide",4
"6","Amphetamine",3
"7","Diazepam",3
"8","D-sorbitol",3
"9","Heptachlor",3
"10","Polybrominated diphenyl ether (PBDE)-47",3
"11","Tebuconazole",3
"12","5,5-Diphenylhydantoin",2
"13","5-Fluorouracil",2
"14","Acrylamide",2
"15","Bisphenol A (BPA)",2
"16","Cocaine base",2
"17","Diethylstilbesterol",2
"18","Bis(tributyltin) oxide",1
"19","Dieldrin",1
"20","Heptachlor epoxide",1
"21","Phenobarbital",1
"22","Triethyltin",1
