"","name","N"
"1","5,5-Diphenylhydantoin",2
"2","Chlorpyrifos (ethyl)",4
"3","D-sorbitol",3
"4","Tebuconazole",3
"5","5-Fluorouracil",2
"6","Polybrominated diphenyl ether (PBDE)-47",5
"7","6-Aminonicotinamide",7
"8","Bisphenol A (BPA)",4
"9","Acrylamide",2
"10","Phenobarbital",1
"11","Fluoxetine",8
"12","Amphetamine",4
"13","Paraquat",7
"14","Bis(tributyltin) Oxide",1
"15","Cocaine base",3
"16","Diethylstilbesterol",2
"17","Dieldrin",1
"18","Diazepam",5
"19","Heptachlor",5
"20","Heptachlor epoxide",1
"21","Loperamide",5
"22","Triethyltin",1
